scene,speaker,solo_interior,solo_seams,overlap_proposed,overlap_blind,eval_margin
8555-284447-0013_5142-33396-0048_2830-3980-0056,s3,inf,inf,nan,nan,0.23370361282482777
4992-41797-0021_5142-33396-0064_5639-40744-0033,s1,inf,29.17438938506253,7.963793655297574,-1.3251397104769245,0.12880084607110442
4992-41797-0021_5142-33396-0064_5639-40744-0033,s2,inf,23.290428376638147,0.1080748430164255,3.0347273890204054,-0.10203956408310944
4992-41797-0021_5142-33396-0064_5639-40744-0033,s3,inf,inf,nan,nan,0.24473598318581835
61-70968-0016_908-157963-0022_1089-134686-0007,s1,inf,53.366552374967675,-0.8383407152519239,-2.437429101432323,0.13628308723196403
61-70968-0016_908-157963-0022_1089-134686-0007,s2,inf,32.591849502583585,-6.635356468126097,-13.421413061004744,0.040303408898884174
61-70968-0016_908-157963-0022_1089-134686-0007,s3,inf,46.34445917782643,11.450668962092621,11.485358255953757,0.16080068169009176
8230-279154-0018_1995-1836-0007_6930-76324-0006,s1,inf,39.697544258462734,7.392772962423329,8.04023447315641,0.15399262944705094
8230-279154-0018_1995-1836-0007_6930-76324-0006,s2,inf,47.87046382682122,10.380898367129888,14.136219774069843,0.05102702985269669
8230-279154-0018_1995-1836-0007_6930-76324-0006,s3,inf,inf,nan,nan,0.2201299762337403
5142-33396-0020_4992-41797-0015_7021-85628-0010,s1,inf,44.936856965693224,1.4988106592203523,-2.129522683593537,0.028745413120660257
5142-33396-0020_4992-41797-0015_7021-85628-0010,s2,inf,30.297204769927095,9.01238848108201,5.997764422184272,0.08886238064066754
5142-33396-0020_4992-41797-0015_7021-85628-0010,s3,inf,70.1688554832843,4.703955062477464,7.501847790720156,0.2975873830737721
5683-32866-0004_121-121726-0005_5142-33396-0003,s1,inf,60.481282860506624,-6.140724286039269,-7.376825683177222,0.21718991334811566
5683-32866-0004_121-121726-0005_5142-33396-0003,s2,inf,55.82209570463534,2.6984231615229985,1.460066403883734,-0.40778576147029355
5683-32866-0004_121-121726-0005_5142-33396-0003,s3,inf,inf,nan,nan,0.20268958831388173
7176-88083-0020_4446-2271-0013_6829-68769-0032,s1,inf,30.864741329762776,6.877214470971159,5.058600187907255,0.2258347988447874
7176-88083-0020_4446-2271-0013_6829-68769-0032,s2,inf,20.131538232481326,8.838064072928637,-1.0715491721377814,0.10494994434603855
7176-88083-0020_4446-2271-0013_6829-68769-0032,s3,inf,31.729654054515603,-4.083756267416741,-2.6591470564857085,0.26731020723384413
6829-68769-0004_4077-13751-0008_4992-41797-0005,s1,inf,55.66409460747663,5.7396317645130015,-2.8038298591454995,0.11434613049950826
6829-68769-0004_4077-13751-0008_4992-41797-0005,s2,inf,39.665757910435275,9.73780475585913,12.010792009728121,0.23694538602579962
6829-68769-0004_4077-13751-0008_4992-41797-0005,s3,inf,35.85734503583816,11.524882011243944,13.300236865619881,-0.04001370506911994
6930-81414-0027_7729-102255-0036_7127-75947-0015,s1,inf,37.009158934680904,8.636608002256406,-3.9061802762780524,0.16993211386467377
6930-81414-0027_7729-102255-0036_7127-75947-0015,s2,inf,35.209774750104316,7.415434764960152,9.489275585788958,0.1166479154203719
6930-81414-0027_7729-102255-0036_7127-75947-0015,s3,inf,71.57067305342616,-4.524899422428039,8.947575316897261,0.05525255537015683
4992-23283-0008_8555-284447-0009_4077-13751-0013,s1,inf,43.203497096743675,-0.11210100522756458,-17.701624585794114,0.3481245799054188
4992-23283-0008_8555-284447-0009_4077-13751-0013,s2,inf,41.08343235993636,-5.646701974784336,5.946381532722059,0.030824088797541505
4992-23283-0008_8555-284447-0009_4077-13751-0013,s3,inf,inf,nan,nan,0.5021292797647321
1188-133604-0005_4446-2275-0035_1580-141083-0026,s1,inf,62.1345273974211,7.741724465622526,8.07795084146163,0.24948572115629153
1188-133604-0005_4446-2275-0035_1580-141083-0026,s2,inf,33.04484181021222,10.560322405282047,12.332774791777304,0.003979577346047591
1188-133604-0005_4446-2275-0035_1580-141083-0026,s3,inf,inf,nan,nan,0.22435281273903407
5639-40744-0026_4446-2271-0019_8230-279154-0022,s1,inf,45.22647027399618,-7.685700886372706,-9.154633554779698,0.29060104366045036
