scene,speaker,system,depth,si_sdr
8555-284449-0002_1995-1837-0004_1089-134686-0002,s3,gated_deflation,2,-17.219740389400428
8555-284449-0002_1995-1837-0004_1089-134686-0002,s3,gated_deflation,3,-5.887266324309268
8555-284449-0002_1995-1837-0004_1089-134686-0002,s1,coarse_to_fine,1,27.636137853744632
8555-284449-0002_1995-1837-0004_1089-134686-0002,s1,coarse_to_fine,2,23.595321962514255
8555-284449-0002_1995-1837-0004_1089-134686-0002,s1,coarse_to_fine,3,-11.609592501888642
8555-284449-0002_1995-1837-0004_1089-134686-0002,s2,coarse_to_fine,1,inf
8555-284449-0002_1995-1837-0004_1089-134686-0002,s2,coarse_to_fine,2,nan
8555-284449-0002_1995-1837-0004_1089-134686-0002,s2,coarse_to_fine,3,6.505468405760678
8555-284449-0002_1995-1837-0004_1089-134686-0002,s3,coarse_to_fine,1,32.17063383259388
8555-284449-0002_1995-1837-0004_1089-134686-0002,s3,coarse_to_fine,2,-11.37869212016774
8555-284449-0002_1995-1837-0004_1089-134686-0002,s3,coarse_to_fine,3,4.163010249579604
7021-85628-0027_3575-170457-0025_8555-292519-0010,s1,no_recursion,1,inf
7021-85628-0027_3575-170457-0025_8555-292519-0010,s1,no_recursion,2,-0.37615097203127884
7021-85628-0027_3575-170457-0025_8555-292519-0010,s1,no_recursion,3,1.7500815474486724
7021-85628-0027_3575-170457-0025_8555-292519-0010,s2,no_recursion,1,32.67506257542099
7021-85628-0027_3575-170457-0025_8555-292519-0010,s2,no_recursion,2,10.06543974191337
7021-85628-0027_3575-170457-0025_8555-292519-0010,s2,no_recursion,3,3.5864494303178267
7021-85628-0027_3575-170457-0025_8555-292519-0010,s3,no_recursion,1,37.44341862923497
7021-85628-0027_3575-170457-0025_8555-292519-0010,s3,no_recursion,2,nan
7021-85628-0027_3575-170457-0025_8555-292519-0010,s3,no_recursion,3,-10.976912849478227
7021-85628-0027_3575-170457-0025_8555-292519-0010,s1,ungated_deflation,1,inf
7021-85628-0027_3575-170457-0025_8555-292519-0010,s1,ungated_deflation,2,-0.37615097203127884
7021-85628-0027_3575-170457-0025_8555-292519-0010,s1,ungated_deflation,3,1.7500815474486724
7021-85628-0027_3575-170457-0025_8555-292519-0010,s2,ungated_deflation,1,38.968783672260386
7021-85628-0027_3575-170457-0025_8555-292519-0010,s2,ungated_deflation,2,-2.4213539590945072
7021-85628-0027_3575-170457-0025_8555-292519-0010,s2,ungated_deflation,3,-15.851559945645391
7021-85628-0027_3575-170457-0025_8555-292519-0010,s3,ungated_deflation,1,23.530852488087454
7021-85628-0027_3575-170457-0025_8555-292519-0010,s3,ungated_deflation,2,nan
7021-85628-0027_3575-170457-0025_8555-292519-0010,s3,ungated_deflation,3,-12.57452694509155
7021-85628-0027_3575-170457-0025_8555-292519-0010,s1,gated_deflation,1,inf
7021-85628-0027_3575-170457-0025_8555-292519-0010,s1,gated_deflation,2,-0.37615097203127884
7021-85628-0027_3575-170457-0025_8555-292519-0010,s1,gated_deflation,3,1.7500815474486724
7021-85628-0027_3575-170457-0025_8555-292519-0010,s2,gated_deflation,1,28.864274977677802
