scene,diarization,dilate_ms,m,der,miss_rate,false_alarm_rate,confusion_rate,overlap_recall,n_ref,n_pred,n_missed_speakers,n_spurious_clusters,total_speech,mask_overlap_recall,mask_overlap_false_alarm
long_00040_8463-2300-2094,real_index_order,0.0,3,0.13217998908962553,0.13217998908962553,0.0,0.0,0.7573426065041439,3,3,0,0,1246520,0.7573426065041439,0.0
long_00041_1089-5142-6829,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1416721,1.0,0.0
long_00041_1089-5142-6829,real,0.0,3,0.04299788031659021,0.04299788031659021,0.0,0.0,0.8309020422844811,3,3,0,0,1416721,0.8309020422844811,0.0
long_00041_1089-5142-6829,real_index_order,0.0,3,0.04299788031659021,0.04299788031659021,0.0,0.0,0.8309020422844811,3,3,0,0,1416721,0.8309020422844811,0.0
long_00042_1320-7176-8555,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1243480,1.0,0.0
long_00042_1320-7176-8555,real,0.0,3,0.13157831247788465,0.07599237623443883,0.0,0.055585936243445815,0.7939140467262763,3,3,0,0,1243480,0.7939140467262763,0.0
long_00042_1320-7176-8555,real_index_order,0.0,3,0.13157831247788465,0.07599237623443883,0.0,0.055585936243445815,0.7939140467262763,3,3,0,0,1243480,0.7939140467262763,0.0
long_00043_2961-5683-4970,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1261240,1.0,0.0
long_00043_2961-5683-4970,real,0.0,3,0.1639299419618788,0.15129951476324888,0.0,0.01263042719862992,0.6830620263822621,3,3,0,0,1261240,0.6830620263822621,0.0
long_00043_2961-5683-4970,real_index_order,0.0,3,0.1639299419618788,0.15129951476324888,0.0,0.01263042719862992,0.6830620263822621,3,3,0,0,1261240,0.6830620263822621,0.0
long_00044_6930-7021-4446,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1250161,1.0,0.0
long_00044_6930-7021-4446,real,0.0,3,0.07813073676110517,0.07813073676110517,0.0,0.0,0.7226969323991668,3,3,0,0,1250161,0.7226969323991668,0.0
long_00044_6930-7021-4446,real_index_order,0.0,3,0.07813073676110517,0.07813073676110517,0.0,0.0,0.7226969323991668,3,3,0,0,1250161,0.7226969323991668,0.0
long_00045_672-8224-4077,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1494720,1.0,0.0
