scene,speaker,m,population,mean_variance,margin,vad_coverage,artifact_score
long_00010_5536-6241-3576,s2,3,correct,0.0,0.45010277754723976,0.9772000774930982,0.7845286596375134
long_00010_5536-6241-3576,s2,3,contaminated,4.110890532074485e-05,0.45010277754723976,0.9772000774930982,0.7845286596375134
long_00010_5536-6241-3576,s2,3,swapped,0.0,0.44127202144282524,0.9681067467428682,0.776198673448633
long_00010_5536-6241-3576,s2,3,clean_correct,0.0,0.6311772205694397,0.8128541676756914,0.7834849734556825
long_00010_5536-6241-3576,s2,3,clean_swapped,0.0,0.2435424990425083,0.42633715955506046,0.8269356904451595
long_00010_5536-6241-3576,s3,3,honest,0.0,0.6362025098380601,0.9695552195552195,0.7078401612791598
long_00010_5536-6241-3576,s3,3,correct,0.0,0.6362025098380601,0.9695552195552195,0.7078401612791598
long_00010_5536-6241-3576,s3,3,contaminated,0.0,0.6362025098380601,0.9695552195552195,0.7078401612791598
long_00010_5536-6241-3576,s3,3,swapped,0.0,0.5964856163827095,1.0,0.7259610554898159
long_00010_5536-6241-3576,s3,3,clean_correct,0.0,0.7116933322181165,0.9696182196182196,0.7050041746974967
long_00010_5536-6241-3576,s3,3,clean_swapped,0.0,0.35994040892288875,0.7448654948654949,0.7226693259982716
long_00011_1988-8297-6295,s1,3,honest,0.0,0.4301474110659256,0.9482415529564653,0.7441402085031257
long_00011_1988-8297-6295,s1,3,correct,0.0,0.4301474110659256,0.9482415529564653,0.7441402085031257
long_00011_1988-8297-6295,s1,3,contaminated,0.0,0.4301474110659256,0.9482415529564653,0.7441402085031257
long_00011_1988-8297-6295,s1,3,swapped,0.0,0.34758897728929317,0.9437811349361057,0.7375763728344804
long_00011_1988-8297-6295,s1,3,clean_correct,0.0,0.5155485237531344,0.7937039744422786,0.7456275586562527
long_00011_1988-8297-6295,s1,3,clean_swapped,0.0,0.47467807497946357,0.00041964479098982024,0.8202154279653449
long_00011_1988-8297-6295,s2,3,honest,0.0,0.2544962683548153,0.9175538710501661,0.744837896482986
long_00011_1988-8297-6295,s2,3,correct,0.0,0.2544962683548153,0.9175538710501661,0.744837896482986
long_00011_1988-8297-6295,s2,3,contaminated,2.2440032957941547e-05,0.2544962683548153,0.9175538710501661,0.744837896482986
long_00011_1988-8297-6295,s2,3,swapped,0.0,0.20681510430738353,0.9479140050535162,0.7675516216319216
long_00011_1988-8297-6295,s2,3,clean_correct,0.0,0.3974703060503715,0.8157666865400448,0.7478264425252585
long_00011_1988-8297-6295,s2,3,clean_swapped,0.0,-0.0026366621619434705,0.41009780541123697,0.833555304607692
long_00011_1988-8297-6295,s3,3,honest,0.0,0.4034432812371587,0.918703372127723,0.7200954811703948
long_00011_1988-8297-6295,s3,3,correct,0.0,0.4034432812371587,0.918703372127723,0.7200954811703948
long_00011_1988-8297-6295,s3,3,contaminated,0.0,0.4034432812371587,0.918703372127723,0.7200954811703948
long_00011_1988-8297-6295,s3,3,swapped,0.0,0.40541005120266815,0.9165323783945091,0.7200534627177778
long_00011_1988-8297-6295,s3,3,clean_correct,0.0,0.5776225666563224,0.748575052223217,0.7185954955093714
long_00011_1988-8297-6295,s3,3,clean_swapped,0.0,0.2938755916116198,0.8677633542226201,0.7264323974468355
long_00012_2412-8842-422,s1,3,honest,0.0,0.6872388305063213,0.9998683395291202,0.7472801550908412
long_00012_2412-8842-422,s1,3,correct,0.0,0.6872388305063213,0.9998683395291202,0.7472801550908412
long_00012_2412-8842-422,s1,3,contaminated,0.0,0.6872388305063213,0.9998683395291202,0.7472801550908412
long_00012_2412-8842-422,s1,3,swapped,0.0,0.6828704504865191,1.0,0.7540714500120507
long_00012_2412-8842-422,s1,3,clean_correct,0.0,0.7671385605121672,0.764614312267658,0.7360984242825562
long_00012_2412-8842-422,s1,3,clean_swapped,0.0,0.7226928060664464,0.0,0.8112553032961437
long_00012_2412-8842-422,s2,3,honest,0.0,0.3226256430095795,0.9996537294079509,0.7778397711484717
long_00012_2412-8842-422,s2,3,correct,0.0,0.3226256430095795,0.9996537294079509,0.7778397711484717
long_00012_2412-8842-422,s2,3,contaminated,5.6891089632158874e-05,0.3226256430095795,0.9996537294079509,0.7778397711484717
